City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,17.56,93,100,3.35,SH,1712857067
1,blythe,33.6103,-114.5964,27.25,16,0,3.09,US,1712857067
2,tiksi,71.6872,128.8694,-28.37,96,24,6.34,RU,1712857068
3,bonthe,7.5264,-12.505,28.74,67,92,4.56,SL,1712856898
4,port-aux-francais,-49.35,70.2167,6.14,96,98,6.48,TF,1712857069
5,bandarbeyla,9.4942,50.8122,28.35,81,18,3.93,SO,1712857070
6,bamboo flat,11.7,92.7167,29.05,84,77,1.03,IN,1712857071
7,ilulissat,69.2167,-51.1,-5.99,73,75,2.06,GL,1712857072
8,ushuaia,-54.8,-68.3,8.79,61,0,11.83,AR,1712857060
9,iqaluit,63.7506,-68.5145,-2.15,68,100,2.57,CA,1712857073
10,puerto baquerizo moreno,-0.9,-89.6,28.55,79,40,2.57,EC,1712857074
11,pingliang,35.5392,106.6861,13.06,65,0,1.78,CN,1712857074
12,shihezi,44.3,86.0333,14.58,48,52,2.64,CN,1712857075
13,assab,13.0092,42.7394,28.17,81,67,5.93,ER,1712857076
14,kavaratti,10.5669,72.642,29.29,71,0,3.6,IN,1712857076
15,puerto natales,-51.7236,-72.4875,10.25,57,0,2.06,CL,1712857077
16,san carlos,9.6612,-68.5827,38.68,23,20,2.43,VE,1712857078
17,wailua homesteads,22.0669,-159.378,23.24,91,75,1.54,US,1712857008
18,cidreira,-30.1811,-50.2056,19.83,87,100,8.51,BR,1712857080
19,port mathurin,-19.6833,63.4167,27.21,76,28,3.61,MU,1712857080
20,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712857081
21,college,64.8569,-147.8028,2.32,66,100,3.09,US,1712856852
22,grytviken,-54.2811,-36.5092,0.82,74,46,5.34,GS,1712857083
23,adamstown,-25.066,-130.1015,21.43,56,81,8.29,PN,1712857083
24,longyearbyen,78.2186,15.6401,-13.09,61,0,3.09,SJ,1712857084
25,puebla de la calzada,38.8793,-6.627,26.95,44,0,2.57,ES,1712857085
26,illizi,26.4833,8.4667,29.89,17,0,8.58,DZ,1712857086
27,east london,-33.0153,27.9116,15.52,77,75,9.77,ZA,1712857087
28,talnakh,69.4865,88.3972,-25.19,98,90,2.68,RU,1712857088
29,usogorsk,63.4106,48.6872,4.81,100,100,7.19,RU,1712857089
30,porto novo,6.4965,2.6036,30.9,74,96,4.42,BJ,1712857062
31,bilibino,68.0546,166.4372,-21.96,100,95,0.75,RU,1712857091
32,tvoroyri,61.5556,-6.8111,9.08,88,93,15.63,FO,1712857092
33,waitangi,-43.9535,-176.5597,16.01,95,55,3.13,NZ,1712857093
34,heber city,40.5069,-111.4132,15.9,33,3,0.45,US,1712857093
35,port alfred,-33.5906,26.891,14.54,87,81,1.79,ZA,1712856825
36,alaior,39.9303,4.1404,14.86,72,20,10.29,ES,1712857095
37,badger,64.8,-147.5333,2.27,70,100,3.09,US,1712857095
38,eldorado at santa fe,35.5264,-105.9347,14.79,33,0,6.69,US,1712857096
39,arar,30.9753,41.0381,21.01,32,0,2.06,SA,1712857097
40,egilsstadir,65.2653,-14.3948,0.95,93,75,7.2,IS,1712857097
41,punta gorda,26.9298,-82.0454,29.03,84,75,11.32,US,1712856811
42,barcelos,41.5388,-8.6151,24.08,70,98,2.06,PT,1712857099
43,mirny,62.5353,113.9611,-21.54,100,81,1.79,RU,1712857100
44,qaqortoq,60.7167,-46.0333,-2.73,75,92,2.02,GL,1712857100
45,manfalut,27.3104,30.97,25.14,25,0,3.94,EG,1712857101
46,la passe,45.5549,-0.8967,18.13,85,88,3.54,FR,1712857102
47,pontassieve,43.7737,11.4282,20.63,57,0,2.57,IT,1712857102
48,cabedelo,-6.9811,-34.8339,32.37,75,100,4.27,BR,1712857103
49,pachino,36.7186,15.0907,15.76,74,72,3.45,IT,1712857104
50,tromso,69.6496,18.957,3.01,87,100,2.06,NO,1712856900
51,mount pearl,47.5166,-52.7813,5.18,69,20,5.14,CA,1712856839
52,okhotsk,59.3833,143.3,-4.89,97,60,2.28,RU,1712857106
53,huarmey,-10.0681,-78.1522,25.59,71,91,4.85,PE,1712857107
54,saipan,15.1355,145.701,27.39,83,40,5.66,MP,1712857107
55,kiunga,-6.1219,141.2906,23.4,100,100,1.07,PG,1712857108
56,st. john's,47.5649,-52.7093,5.64,70,20,5.14,CA,1712856833
57,black river,18.0264,-77.8487,32.03,57,66,10.29,JM,1712857109
58,gisborne,-38.6533,178.0042,19.05,77,100,4.79,NZ,1712857110
59,kodiak,57.79,-152.4072,-2.27,86,100,2.06,US,1712857111
60,colonia,50.9333,6.95,17.13,71,40,2.57,DE,1712856916
61,praia da vitoria,38.7333,-27.0667,20.14,77,40,2.51,PT,1712856838
62,hawaiian paradise park,19.5933,-154.9731,21.69,98,100,3.6,US,1712857113
63,kilju,40.9642,129.3278,9.19,74,9,1.15,KP,1712857114
64,hamilton,39.1834,-84.5333,19.08,91,100,4.12,US,1712856378
65,karagandy,49.8019,73.1021,-0.03,79,85,4.89,KZ,1712857115
66,moires,35.0532,24.8744,17.42,61,62,2.23,GR,1712857116
67,la'ie,21.6477,-157.9253,23.39,84,100,1.79,US,1712857116
68,essaouira,31.5125,-9.77,31.72,35,8,2.57,MA,1712857117
69,tual,-5.6667,132.75,28.46,67,69,1.9,ID,1712857118
70,el alto,-4.2714,-81.2147,29.81,70,59,2.7,PE,1712857118
71,bel ombre,-4.6167,55.4167,25.91,89,20,1.54,SC,1712857119
72,ancud,-41.8697,-73.8203,14.79,51,0,1.94,CL,1712857120
73,vorgashor,67.5833,63.95,-12.33,82,100,11.34,RU,1712857120
74,vila franca do campo,37.7167,-25.4333,18.27,99,8,2.88,PT,1712857121
75,yellowknife,62.456,-114.3525,1.9,83,75,5.14,CA,1712856959
76,alexandria,31.2156,29.9553,18.99,69,0,3.68,EG,1712856533
77,espumoso,-28.7247,-52.8497,18.69,93,100,4.48,BR,1712856846
78,galliano,29.4422,-90.2992,18.89,63,100,9.26,US,1712857124
79,valdivia,-39.8142,-73.2459,17.05,37,21,1.63,CL,1712857125
80,vung tau,10.346,107.0843,27.57,82,18,10.86,VN,1712857125
81,ciudad rodrigo,40.6,-6.5333,18.72,74,31,3.04,ES,1712857126
82,ketchikan,55.3422,-131.6461,5.26,87,100,2.06,US,1712856938
83,kidal,18.4411,1.4078,37.26,7,100,1.46,ML,1712857128
84,kuta,-8.7233,115.1723,27.97,88,20,1.03,ID,1712857129
85,joplin,37.0842,-94.5133,15.97,48,40,10.8,US,1712857036
86,beterou,9.1992,2.2586,34.18,40,89,4.41,BJ,1712857131
87,pisco,-13.7,-76.2167,24.03,83,37,5.14,PE,1712857131
88,bethel,41.3712,-73.414,13.06,88,100,4.63,US,1712856838
89,georgetown,5.4112,100.3354,29.41,81,20,1.03,MY,1712857133
90,isafjordur,66.0755,-23.124,2.02,69,100,7.2,IS,1712857134
91,rabigh,22.7986,39.0349,25.53,48,4,5.57,SA,1712857135
92,san-pedro,4.7485,-6.6363,27.86,76,90,3.69,CI,1712857135
93,grand falls-windsor,48.9332,-55.6649,10.84,33,0,1.79,CA,1712857136
94,alice springs,-23.7,133.8833,13.45,49,2,0.45,AU,1712857137
95,ushtobe,45.2514,77.9838,12.16,60,85,2.07,KZ,1712857137
96,ola,59.5833,151.2833,-7.7,90,36,2.22,RU,1712857138
97,lihue,21.9789,-159.3672,23.58,89,75,1.54,US,1712857139
98,igarka,67.4667,86.5833,-28.32,100,23,2.24,RU,1712857140
99,invercargill,-46.4,168.35,7.79,87,100,0.45,NZ,1712857141
100,balotra,25.8333,72.2333,29.87,28,5,3.47,IN,1712857141
101,bubaque,11.2833,-15.8333,24.4,71,0,9.02,GW,1712857142
102,keflavik,64.0049,-22.5624,7.95,81,100,9.26,IS,1712857143
103,andrychow,49.855,19.3383,14.4,90,47,1.9,PL,1712857144
104,udachny,66.4167,112.4,-28.08,100,77,2.23,RU,1712857144
105,anadyr,64.75,177.4833,-15.72,77,0,3.0,RU,1712857145
106,khandyga,62.6667,135.6,-1.99,89,100,2.94,RU,1712857146
107,huaraz,-9.5333,-77.5333,17.09,70,86,3.03,PE,1712857065
108,lundazi,-12.2929,33.1782,19.74,94,63,3.09,ZM,1712857147
109,savelugu,9.6244,-0.8253,38.47,25,82,2.2,GH,1712857148
110,luderitz,-26.6481,15.1594,21.0,55,1,3.19,NA,1712857149
111,khabary,53.6259,79.5345,-2.1,62,88,5.47,RU,1712857149
112,acarau,-2.8856,-40.12,28.21,81,98,3.31,BR,1712856927
113,albany,42.6001,-73.9662,13.3,81,100,1.79,US,1712857094
114,cabeza del buey,38.7223,-5.2195,19.71,62,19,3.2,ES,1712857151
115,aykhal,66.0,111.5,-28.9,100,99,2.68,RU,1712857152
116,ixtapa,20.7,-105.2,24.57,61,75,3.6,MX,1712857154
117,coquimbo,-29.9533,-71.3436,13.85,94,100,3.6,CL,1712857047
118,taroa,8.7058,171.2275,27.32,80,86,9.02,MH,1712856882
119,hermanus,-34.4187,19.2345,14.89,70,5,8.26,ZA,1712857155
120,bredasdorp,-34.5322,20.0403,14.88,67,0,5.13,ZA,1712857157
121,kroonstad,-27.6504,27.2349,15.18,36,0,1.66,ZA,1712857158
122,brookings,44.3114,-96.7984,7.88,83,100,10.8,US,1712857154
123,fonte boa,-2.4959,-66.2662,29.95,78,99,1.13,BR,1712857159
124,kailua-kona,19.6406,-155.9956,25.89,86,20,0.0,US,1712856978
125,avarua,-21.2078,-159.775,27.03,89,20,6.17,CK,1712857160
126,mugia,43.1041,-9.2179,19.95,77,93,0.36,ES,1712857161
127,prince rupert,54.3161,-130.3201,5.05,87,100,7.2,CA,1712856912
128,mejit,10.2753,170.8646,26.58,76,100,8.86,MH,1712857162
129,laguna,38.421,-121.4238,25.54,62,0,0.0,US,1712857089
130,puerto ayora,-0.7393,-90.3518,29.98,93,52,0.89,EC,1712857164
131,olonkinbyen,70.9221,-8.7187,-8.24,70,100,4.17,SJ,1712857164
132,palasa,18.7667,84.4167,26.26,74,12,2.11,IN,1712857165
133,mora,11.0461,14.1401,35.06,8,66,3.23,CM,1712857166
134,san patricio,28.017,-97.5169,28.97,20,0,5.51,US,1712857166
135,blackmans bay,-43.0167,147.3167,10.07,86,99,0.89,AU,1712857167
136,ribeira grande,38.5167,-28.7,17.22,88,75,4.47,PT,1712857168
137,buka,40.8108,69.1986,17.27,66,100,3.14,UZ,1712857168
138,whitehorse,60.7161,-135.0538,3.39,59,20,2.57,CA,1712857169
139,masterton,-40.9597,175.6575,19.38,94,99,4.19,NZ,1712857170
140,popondetta,-8.7537,148.2534,23.69,95,92,1.02,PG,1712857171
141,dhuusamarreeb,5.535,46.3861,30.21,46,100,9.29,SO,1712857171
142,gounou gaya,9.6294,15.5132,38.34,15,73,2.22,TD,1712857172
